start	end	text
31318	36240	मेरे निंदूमे तुम, मेरे खाबूमे तुम
36952	57361	हो चुके हुं तुहारी महोबत मेगूं मेरी नींदूं मेतूं मेरी खफाबों मेतूं हो चुके हुं तुहारी महोबत मेगुं मनजी दीना की फुं, तो बलम अजसन मेरी नगर
60142	60703	तो बलम आज शुल
88240	102749	मेरे लगी तु मेरे जंजगे तु मेरे है नजा है तेरे दाषका मेरे लगी लगी तु मेरे जंजगे तु मेरे है
108860	132006	मेरे दिलकी बहारे तुही को पुकारे तुही से है आबाद मेरा जहां मेरे दिलकी बहारे तुही को पुकारे तुही से है आबाद मेरा जहां तु मेरा नाज है
133835	151119	मेरा अंडाज है, दिल की आबाज है मेरी नींदो में तुं, मेरे ख्फावो में तुं, हो चुके हुं, तुहारी मुहाबत में गुुुुुुुुुुुुुुुुुुुुुुुुुु
172514	181279	दिल पच्छाए खुशी हे लबो पर खषी है कि यह तरे त्यारत की जान्दनी दिल पच्छाए खुशी हे लबो पर खषी है कि यह तरे त्यारत की
194731	205178	जुमती है निगा है नशा चारा है कि दिलगा रहा है तेरी रागनी
219610	239706	मेरा कहता है मन, आब तो लागी लजन मेरी नीडो मे तुम, मेरी भाबो मे तुम, हो चुके जं, तुमहारी मुबबत मे गुम मनची दीना की जुम, तुम बला मुआजपन
241807	245032	मेरी नजरो निज़को लिया जुचन मन की भीना की जन तुबलम आजुचन
